;Marche;Country of Incorporation;ISIN;Company;Secteur;Industrie;ticker
0;Euronext GROWTH*;France;FR0010285965;1000mercis;Communication Services;Advertising Agencies;ALMIL
1;Euronext GROWTH*;France;FR0011038348;Groupe Actiplay SA;Communication Services;Advertising Agencies;ALACT
2;Euronext GROWTH*;France;FR0013284627;Adeunis Societe anonyme;Technology;Communication Equipment;ALARF
3;Euronext GROWTH*;France;FR0013247244;Adomos S.A.;Real Estate;Real Estate Services;ALADO
4;Euronext GROWTH*;France;FR0010457531;ADThink Media Societe Anonyme;Communication Services;Advertising Agencies;ALADM
5;Euronext Access**;France;FR0013285103;Air Marine SA;Industrials;Aerospace & Defense;MLAIM
6;Euronext GROWTH*;France;FR0000054652;Ales Groupe S.A.;Consumer Defensive;Household & Personal Products;ALPHY
7;Euronext GROWTH*;France;FR0011910652;Anevia Societe Anonyme;Technology;Software충Infrastructure;ALANV
8;Euronext GROWTH*;Espagne;ES0109429037;Antevenio, S.A.;Communication Services;Advertising Agencies;ALANT
9;Euronext GROWTH*;France;FR0010340711;Aquila SA;Industrials;Security & Protection Services;ALAQU
10;Euronext GROWTH*;France;FR0013398997;Arcure S.A.;Industrials;Specialty Industrial Machinery;ALCUR
11;Euronext GROWTH*;France;FR0000079683;Artefact SA;Communication Services;Advertising Agencies;ALATF
12;Euronext Access**;France;FR0012968485;Ashler et Manson SA;Financial Services;Insurance Brokers;MLAEM
13;Euronext GROWTH*;France;FR0013384369;Baikowski SAS;Basic Materials;Chemicals;ALBKK
14;Euronext GROWTH*;France;FR0000035305;BD Multimedia SA;Communication Services;Telecom Services;ALBDM
15;Euronext GROWTH*;France;FR0004174233;Bilendi SA;Communication Services;Advertising Agencies;ALBLD
16;Euronext GROWTH*;France;FR0012788065;Biocorp Production;Healthcare;Medical Devices;ALCOR
17;Euronext GROWTH*;France;FR0012816825;Biophytis SA;Healthcare;Biotechnology;ALBPS
18;Euronext GROWTH*;France;FR0011005933;Biosynex SA;Healthcare;Diagnostics & Research;ALBIO
19;Euronext GROWTH*;France;FR0013345493;BIO-UV Group S.A.;Industrials;Waste Management;ALTUV
20;Euronext Access**;France;FR0013340973;Blue Shark Power System;Utilities;Utilities충Renewable;MLBSP
21;Euronext GROWTH*;France;FR0011041011;Bluelinea Societe Anonyme;Healthcare;Medical Devices;ALBLU
22;Euronext Access**;France;FR0010106039;Body One SA;Consumer Cyclical;Apparel Manufacturing;MLONE
23;Euronext GROWTH*;France;FR0011648716;Carbios SAS;Basic Materials;Specialty Chemicals;ALCRB
24;Euronext GROWTH*;France;FR0010907956;Carmat SA;Healthcare;Medical Instruments & Supplies;ALCAR
25;Euronext Access**;France;FR0010717579;SA Cecurity.com;Technology;Software충Infrastructure;MLCEC
26;Euronext GROWTH*;France;FR0010425595;Cellectis S.A.;Healthcare;Biotechnology;ALCLS
27;Euronext GROWTH*;France;FR0013178712;Cerinnov Group SA;Industrials;Specialty Industrial Machinery;ALPCV
28;Euronext Access**;France;FR0012384907;Groupe CIOA;Industrials;Consulting Services;MLCIO
29;Euronext GROWTH*;France;FR0004152882;Clasquin SA;Industrials;Integrated Freight & Logistics;ALCLA
30;Euronext GROWTH*;France;FR0013257409;Cofidur S.A.;Technology;Electronic Components;ALCOF
31;Euronext Access**;France;FR0000060428;Compagnie Du Mont-Blanc;Consumer Cyclical;Leisure;MLCMB
32;Euronext GROWTH*;France;FR0011716265;Crossject Societe Anonyme;Healthcare;Medical Instruments & Supplies;ALCJ
33;Euronext GROWTH*;France;FR0013204351;Cybergun S.A.;Consumer Cyclical;Leisure;ALCYB
34;Euronext GROWTH*;France;FR0000185423;Damartex;Consumer Cyclical;Apparel Retail;ALDAR
35;Euronext Access**;France;FR0004177939;datBIM SA;Technology;Information Technology Services;MLDTB
36;Euronext GROWTH*;France;FR0013066750;DBT SA;Industrials;Specialty Industrial Machinery;ALDBT
37;Euronext GROWTH*;France;FR0010879056;Deinove SA;Healthcare;Biotechnology;ALDEI
38;Euronext GROWTH*;France;FR0000054132;Delfingen Industry S.A.;Consumer Cyclical;Auto Parts;ALDEL
39;Euronext GROWTH*;France;FR0010404368;DLSI;Industrials;Staffing & Employment Services;ALDLS
40;Euronext Access**;France;FR0011522168;Delta Drone SA;Industrials;Aerospace & Defense;ALDR
41;Euronext GROWTH*;France;FR0010246322;EasyVista S.A.;Technology;Information Technology Services;ALEZV
42;Euronext GROWTH*;France;FR0011490648;Ecoslops S.A.;Industrials;Waste Management;ALESA
43;Euronext GROWTH*;France;FR0013330792;ENENSYS Technologies SA;Technology;Communication Equipment;ALNN6
44;Euronext GROWTH*;France;FR0011915339;Enertime SA;Industrials;Specialty Industrial Machinery;ALENE
45;Euronext GROWTH*;France;FR0010424697;SA Entreparticuliers.com;Communication Services;Internet Content & Information;ALENT
46;Euronext GROWTH*;France;FR0010278762;Envea Societe anonyme;Technology;Scientific & Technical Instruments;ALTEV
47;Euronext GROWTH*;France;FR0010465534;Eo2 Societe Anonyme;Basic Materials;Lumber & Wood Production;ALEO2
48;Euronext GROWTH*;France;FR0000035818;Esker SA;Technology;Software충Application;ALESK
49;Euronext GROWTH*;France;FR0013240934;Eurobio Scientific Societe anonyme;Healthcare;Diagnostics & Research;ALERS
50;Euronext GROWTH*;France;FR0010452474;Eurogerm SA;Consumer Defensive;Farm Products;ALGEM
51;Euronext GROWTH*;France;FR0000044810;Europlasma S.A.;Industrials;Waste Management;ALEUP
52;Euronext GROWTH*;France;FR0004166197;Evolis SA;Technology;Computer Hardware;ALTVO
53;Euronext GROWTH*;France;FR0010221069;Filae S.A.;Communication Services;Internet Content & Information;ALFIL
54;Euronext GROWTH*;France;FR0012419307;Focus Home Interactive Societe anonyme;Communication Services;Electronic Gaming & Multimedia;ALFOC
55;Euronext GROWTH*;France;FR0010485268;Fountaine Pajot SA;Consumer Cyclical;Leisure;ALFPC
56;Euronext Access**;France;FR0012300424;FD;Consumer Defensive;Packaged Foods;MLFDV
57;Euronext GROWTH*;France;FR0004053510;genOway S.A.;Healthcare;Biotechnology;ALGEN
58;Euronext GROWTH*;France;FR0011052257;Global Bioenergies SA;Utilities;Utilities충Diversified;ALGBE
59;Euronext GROWTH*;France;FR0011289198;Global EcoPower Societe Anonyme;Utilities;Utilities충Renewable;ALGEP
60;Euronext GROWTH*;France;FR0012819381;Groupe Guillin S.A.;Consumer Cyclical;Packaging & Containers;ALGIL
61;Euronext GROWTH*;France;FR0013204070;Groupe Parot SA;Consumer Cyclical;Auto & Truck Dealerships;ALPAR
62;Euronext GROWTH*;France;FR0010207795;Harvest S.A.;Technology;Software충Application;ALHVS
63;Euronext GROWTH*;France;FR0000066540;Herige;Basic Materials;Building Materials;ALHRG
64;Euronext GROWTH*;France;FR0013219367;Horizontal Software S.A.;Technology;Software충Application;ALHSW
65;Euronext GROWTH*;France;FR0004153930;Hybrigenics Societe Anonyme;Healthcare;Biotechnology;ALHYG
66;Euronext GROWTH*;France;FR0011511971;I.CERAM SA;Healthcare;Medical Instruments & Supplies;ALICR
67;Euronext GROWTH*;France;FR0013060100;Immersion SA;Technology;Software충Application;ALIMR
68;Euronext GROWTH*;France;FR0010908723;IntegraGen SA;Healthcare;Biotechnology;ALINT
69;Euronext GROWTH*;France;FR0011179886;Intrasense SA;Healthcare;Health Information Services;ALINS
70;Euronext GROWTH*;France;BE0974299316;Invibes Advertising SA;Communication Services;Advertising Agencies;ALINV
71;Euronext GROWTH*;France;FR0010722819;Kalray S.A.;Technology;Semiconductors;ALKAL
72;Euronext GROWTH*;France;FR0013156007;Kerlink SA;Technology;Software충Infrastructure;ALKLK
73;Euronext GROWTH*;France;FR0007080254;Les Hotels Baverez S.A.;Consumer Cyclical;Lodging;ALLHB
74;Euronext GROWTH*;France;FR0011884378;Lucibel SA;Industrials;Electrical Equipment & Parts;ALUCI
75;Euronext Access**;France;FR0010328302;Made SA;Technology;Scientific & Technical Instruments;MLMAD
76;Euronext GROWTH*;France;FR0010812230;madvertise;Communication Services;Advertising Agencies;ALMNG
77;Euronext GROWTH*;France;FR0000072993;Makheia Group Societe anonyme;Communication Services;Advertising Agencies;ALMAK
78;Euronext GROWTH*;France;FR0004155687;Mastrad Societe Anonyme;Consumer Defensive;Household & Personal Products;ALMAS
79;Euronext GROWTH*;France;FR0000061244;Mecelec Composites SA;Industrials;Electrical Equipment & Parts;ALMEC
80;Euronext GROWTH*;France;FR0011049824;Median Technologies SA;Healthcare;Diagnostics & Research;ALMDT
81;Euronext GROWTH*;France;FR0004178572;Medicrea International SA;Healthcare;Medical Devices;ALMED
82;Euronext GROWTH*;France;FR0011217710;Methanor SCA;Utilities;Utilities충Diversified;ALMET
83;Euronext GROWTH*;France;FR0010353888;MGI Digital Technology Societe Anonyme;Industrials;Specialty Business Services;ALMDG
84;Euronext GROWTH*;France;FR0004058949;Microwave Vision S.A.;Technology;Communication Equipment;ALMIC
85;Euronext GROWTH*;France;FR0013053535;Miliboo Societe anonyme;Consumer Cyclical;Furnishings, Fixtures & Appliances;ALMLB
86;Euronext GROWTH*;France;FR0004172450;MINT Societe anonyme;Communication Services;Telecom Services;ALBUD
87;Euronext GROWTH*;France;FR0011033083;Moulinvest SA;Basic Materials;Lumber & Wood Production;ALMOU
88;Euronext Access**;France;FR0013344223;Nature et Logis SA;Consumer Cyclical;Residential Construction;MLNAT
89;Euronext GROWTH*;France;FR0004032746;Neovacs S.A.;Healthcare;Biotechnology;ALNEV
90;Euronext GROWTH*;France;FR0004171346;Nextedia S.A.;Communication Services;Advertising Agencies;ALNXT
91;Euronext GROWTH*;France;FR0010397232;Novacyt S.A.;Healthcare;Diagnostics & Research;ALNOV
92;Euronext GROWTH*;France;FR0010330613;Ober SA;Industrials;Building Products & Equipment;ALOBR
93;Euronext Access**;France;FR0013310281;Octopus Robots SA;Technology;Computer Hardware;MLOCT
94;Euronext GROWTH*;France;FR0011766229;Oncodesign Societe Anonyme;Healthcare;Biotechnology;ALONC
95;Euronext Access**;France;FR0013266772;One Experience SA;Industrials;Specialty Business Services;MLOEX
96;Euronext GROWTH*;France;FR0013318052;Ordissimo SA;Technology;Computer Hardware;ALORD
97;Euronext GROWTH*;France;FR0013231180;Osmozis SA;Communication Services;Telecom Services;ALOSM
98;Euronext GROWTH*;France;FR0013328184;Oxatis SA;Technology;Software충Application;ALOXA
99;Euronext Access**;France;FR0000185928;Parfex SA;Basic Materials;Specialty Chemicals;MLPFX
100;Euronext GROWTH*;France;FR0011191287;Pharnext SA;Healthcare;Biotechnology;ALPHA
101;Euronext GROWTH*;France;FR0010211037;PlanetMedia SA;Communication Services;Internet Content & Information;ALPLA
102;Euronext GROWTH*;France;FR0010785790;Plant Advanced Technologies SA;Healthcare;Biotechnology;ALPAT
103;Euronext GROWTH*;France;FR0000066441;Poujoulat SA;Industrials;Building Products & Equipment;ALPJT
104;Euronext GROWTH*;France;FR0013015583;Poulaillon SA;Consumer Defensive;Packaged Foods;ALPOU
105;EURONEXT;France;FR0004044600;Prismaflex International, S.A.;Communication Services;Advertising Agencies;ALPRI
106;Euronext GROWTH*;France;FR0010313486;Prodware;Technology;Software충Application;ALPRO
107;Euronext GROWTH*;France;FR0011648971;Quantum Genomics Societe Anonyme;Healthcare;Biotechnology;ALQGC
108;Euronext GROWTH*;France;FR0010889386;Qwamplify;Communication Services;Advertising Agencies;ALQWA
109;Euronext GROWTH*;France;FR0011858190;Realites;Real Estate;Real Estate Services;ALREA
110;Euronext GROWTH*;France;FR0010820274;Reworld Media Societe Anonyme;Communication Services;Advertising Agencies;ALREW
111;Euronext GROWTH*;France;FR0010523167;RocTool S.A.;Technology;Electronic Components;ALROC
112;Euronext Access**;France;FR0004175222;Scientific Brain Training SA;Healthcare;Medical Care Facilities;MLSBT
113;Euronext GROWTH*;France;FR0012596468;Sensorion SA;Healthcare;Biotechnology;ALSEN
114;Euronext GROWTH*;France;FR0010202606;Sidetrade SA;Technology;Software충Application;ALBFR
115;Euronext GROWTH*;France;FR0013379484;Solutions 30 S.E.;Technology;Information Technology Services;ALS30
116;Euronext GROWTH*;France;FR0011464452;SpineGuard SA;Healthcare;Medical Devices;ALSGD
117;Euronext GROWTH*;France;FR0011398874;Spineway Societe Anonyme;Healthcare;Medical Devices;ALSPW
118;Euronext GROWTH*;France;FR0000074775;Stradim Espace Finances SA;Real Estate;Real Estate Services;ALSAS
119;Euronext GROWTH*;France;FR0010528059;Streamwide S.A.;Technology;Software충Application;ALSTW
120;Euronext GROWTH*;France;FR0011053636;The Blockchain Group;Communication Services;Advertising Agencies;ALTBG
121;Euronext GROWTH*;France;FR0010120402;Theraclion SA;Healthcare;Medical Devices;ALTHE
122;Euronext GROWTH*;France;FR0004197747;Theradiag SA;Healthcare;Medical Devices;ALTER
123;Euronext GROWTH*;France;FR0013286259;Theranexus Societe Anonyme;Healthcare;Biotechnology;ALTHX
124;Euronext GROWTH*;France;FR0004043487;Traqueur SA;Technology;Scientific & Technical Instruments;ALTRA
125;Euronext GROWTH*;France;FR0004175099;Tronic's Microsystems SA;Technology;Semiconductor Equipment & Materials;ALTRO
126;Euronext GROWTH*;France;FR0000079147;U10 Corp;Consumer Cyclical;Furnishings, Fixtures & Appliances;ALU10
127;Euronext GROWTH*;France;FR0011070457;Ucar SA;Industrials;Rental & Leasing Services;ALUCR
128;Euronext GROWTH*;France;FR0013263878;Umanis SA;Technology;Information Technology Services;ALUMS
129;Euronext GROWTH*;France;FR0010337865;UPERGY Societe Anonyme;Consumer Cyclical;Specialty Retail;ALUPG
130;Euronext GROWTH*;France;FR0011898584;UV Germi SA;Industrials;Pollution & Treatment Controls;ALUVI
131;Euronext GROWTH*;France;FR0013254851;Valbiotis SA;Healthcare;Biotechnology;ALVAL
132;Euronext GROWTH*;France;FR0010245803;Velcan Holdings S.A.;Utilities;Utilities충Renewable;ALVEL
133;Euronext GROWTH*;France;FR0010766667;Vente-Unique.com SA;Consumer Cyclical;Furnishings, Fixtures & Appliances;ALVU
134;Euronext Access**;France;FR0006174496;Verney-Carron S.A.;Industrials;Aerospace & Defense;MLVER
135;Euronext GROWTH*;France;FR0004029478;Visiativ SA;Technology;Software충Application;ALVIV
136;Euronext GROWTH*;France;FR0011067669;Visiomed Group SA;Healthcare;Medical Instruments & Supplies;ALVMG
137;Euronext GROWTH*;France;FR0004045847;Voyageurs du Monde SA;Consumer Cyclical;Travel Services;ALVDM
138;Euronext GROWTH*;France;FR0010131409;WALLIX GROUP SA;Technology;Software충Infrastructure;ALLIX
139;Euronext GROWTH*;France;FR0013079092;We.Connect SA;Technology;Consumer Electronics;ALWEC
140;Euronext GROWTH*;France;FR0010337444;Weborama SA;Communication Services;Internet Content & Information;ALWEB
141;Euronext GROWTH*;France;FR0013143872;Witbe SA;Communication Services;Internet Content & Information;ALWIT
142;0;Belgique;BE0003470755;Solvay;Basic Materials;Chemicals;SOLB
143;0;France;FR0000031122;Air France - KLM;Industrials;Airlines;AF
144;0;France;FR0000031684;Rothschild & Co;Financial Services;Capital Markets;ROTH
145;0;France;FR0000035081;Icade;Real Estate;REIT듃iversified;ICAD
146;0;France;FR0000038259;Eurofins Scient.;Healthcare;Diagnostics & Research;ERF
147;0;France;FR0000039299;Bollore;Communication Services;Entertainment;BOL
148;0;France;FR0000044448;Nexans;Industrials;Electrical Equipment & Parts;NEX
149;0;France;FR0000045072;Credit Agricole;Financial Services;BanksRegional;ACA
150;0;France;FR0000050809;Sopra Steria Group;Technology;Information Technology Services;SOP
151;0;France;FR0000051732;Atos;Technology;Information Technology Services;ATO
152;0;France;FR0000051807;Teleperformance;Industrials;Consulting Services;TEP
153;0;France;FR0000052292;Hermes;Consumer Cyclical;Luxury Goods;RMS
154;0;France;FR0000053225;Metropole Tv;Communication Services;Broadcasting;MMT
155;0;France;FR0000054470;Ubisoft Entertainment;Communication Services;Electronic Gaming & Multimedia;UBI
156;0;France;FR0000054900;Tf1;Communication Services;Broadcasting;TFI
157;0;France;FR0000064578;Covivio;Real Estate;REIT듃iversified;COV
158;0;France;FR0000071946;Alten;Technology;Information Technology Services;ATE
159;0;France;FR0000073272;Safran;Industrials;Aerospace & Defense;SAF
160;0;France;FR0000073298;Ipsos;Communication Services;Advertising Agencies;IPS
161;0;France;FR0000077919;Jc Decaux Sa.;Communication Services;Advertising Agencies;DEC
162;0;France;FR0000120073;Air Liquide;Basic Materials;Chemicals;AI
163;0;France;FR0000120172;Carrefour;Consumer Defensive;Grocery Stores;CA
164;0;France;FR0000120222;Cnp Assurances;Financial Services;Insurance듋ife;CNP
165;0;France;FR0000120271;Total;Energy;Oil & Gas Integrated;FP
166;0;France;FR0000120321;L'oreal;Consumer Defensive;Household & Personal Products;OR
167;0;France;FR0000120354;Vallourec;Basic Materials;Steel;VK
168;0;France;FR0000120404;Accor Hotels;Consumer Cyclical;Lodging;AC
169;0;France;FR0000120503;Bouygues;Industrials;Engineering & Construction;EN
170;0;France;FR0000120560;Quadient;Technology;Software듀pplication;QDT
171;0;France;FR0000120578;Sanofi;Healthcare;Drug Manufacturers듆eneral;SAN
172;0;France;FR0000120628;Axa;Financial Services;Insurance듃iversified;CS
173;0;France;FR0000120644;Danone;Consumer Defensive;Packaged Foods;BN
174;0;France;FR0000120685;Natixis;Financial Services;BanksRegional;KN
175;0;France;FR0000120693;Pernod Ricard;Consumer Defensive;Beverages듕ineries & Distilleries;RI
176;0;France;FR0000120859;Imerys;Basic Materials;Building Materials;NK
177;0;France;FR0000120966;Bic;Consumer Defensive;Household & Personal Products;BB
178;0;France;FR0000121014;Lvmh;Consumer Cyclical;Luxury Goods;MC
179;0;France;FR0000121121;Eurazeo;Financial Services;Asset Management;RF
180;0;France;FR0000121147;Faurecia;Consumer Cyclical;Auto Parts;EO
181;0;France;FR0000121204;Wendel Invest.;Financial Services;Asset Management;MF
182;0;France;FR0000121220;Sodexo;Industrials;Specialty Business Services;SW
183;0;France;FR0000121261;Michelin;Consumer Cyclical;Auto Parts;ML
184;0;France;FR0000121329;Thales;Industrials;Aerospace & Defense;HO
185;0;France;FR0000121485;Kering;Consumer Cyclical;Footwear & Accessories;KER
186;0;France;FR0000121501;Peugeot;Consumer Cyclical;Auto Manufacturers;UG
187;0;France;FR0000121667;EssilorLuxottica;Healthcare;Medical Instruments & Supplies;EL
188;0;France;FR0000121709;Seb;Consumer Cyclical;Furnishings, Fixtures & Appliances;SK
189;0;France;FR0000121725;Dassault Aviation;Industrials;Aerospace & Defense;AM
190;0;France;FR0000121964;Klepierre;Real Estate;REIT - Retail;LI
191;0;France;FR0000121972;Schneider Electric;Industrials;Specialty Industrial Machinery;SU
192;0;France;FR0000124141;Veolia Environ.;Industrials;Waste Management;VIE
193;0;France;FR0000124570;Plastic Omnium;Consumer Cyclical;Auto Parts;POM
194;0;France;FR0000125007;Saint Gobain;Industrials;Building Products & Equipment;SGO
195;0;France;FR0000125338;CapGemini;Technology;Information Technology Service;CAP
196;0;France;FR0000125346;Ingenico Group;Technology;Software - Infrastructure;ING
197;0;France;FR0000125486;Vinci;Industrials;Engineering & Construction;DG
198;0;France;FR0000125585;Casino Guichard;Consumer Defensive;Grocery Stores;CO
199;0;France;FR0000127771;Vivendi;Communication Services;Broadcasting;VIV
200;0;France;FR0000130213;Lagardere;Consumer Cyclical;Travel Services;MMB
201;0;France;FR0000130395;Remy Cointreau;Consumer Defensive;Beverages - Wineries & Distilleries;RCO
202;0;France;FR0000130452;Eiffage;Industrials;Engineering & Construction;FGR
203;0;France;FR0000130577;Publicis Groupe;Communication Services;Advertising Agencies;PUB
204;0;France;FR0000130650;Dassault Systemes;Technology;Software - Application;DSY
205;0;France;FR0000130809;Societe Generale;Financial Services;Banks - Regional;GLE
206;0;France;FR0000131104;Bnp Paribas;Financial Services;Banks - Regional;BNP
207;0;France;FR0000131757;Eramet;Energy;Other Industrial Metals & Mining;ERA
208;0;France;FR0000131906;Renault;Consumer Cyclical;Auto Manufacturers;RNO
209;0;France;FR0000133308;Orange;Communication Services;Telecom Services;ORA
210;0;France;FR0000184798;Orpea;Healthcare;Medical Care Facilities;ORP
211;0;France;FR0004035913;Iliad;Communication Services;Telecom Services;ILD
212;0;France;FR0004125920;Amundi;Financial Services;Asset Management;AMUN
213;0;France;FR0004163111;Genfit;Healthcare;Biotechnology;GNFT
214;0;France;FR0004180537;Akka Technologies;Technology;Information Technology Services;AKA
215;0;France;FR0004188670;Tarkett;Industrials;Building Products & Equipment;TKTT
216;0;France;FR0005691656;Trigano;Consumer Cyclical;Recreational Vehicles;TRI
217;0;France;FR0006174348;Bureau Veritas;Industrials;Consulting Services;BVI
218;0;France;FR0010040865;Gecina Nom.;Real Estate;REIT - Office;GFC
219;0;France;FR0010112524;Nexity;Real Estate;Real Estate - Diversified;NXI
220;0;France;FR0010208488;Engie;Utilities;Utilities - Diversified;ENGI
221;0;France;FR0010220475;Alstom;Industrials;Specialty Industrial Machinery;ALO
222;0;France;FR0010221234;Eutelsat Com.;Technology;Communication Equipment;ETL
223;0;France;FR0010241638;Mercialys;Real Estate;REIT - Retail;MERY
224;0;France;FR0010242511;EDF;Utilities;Utilities - Diversified;EDF
225;0;France;FR0010259150;Ipsen;Healthcare;Drug Manufacturers - Specialty & Generic;IPN
226;0;France;FR0010307819;Legrand SA;Industrials;Specialty Industrial Machinery;LR
227;0;France;FR0010313833;Arkema;Basic Materials;Specialty Chemicals;AKE
228;0;France;FR0010340141;A本oports de Paris SA;Industrials;Airports & Air Services;ADP
229;0;France;FR0010386334;Korian;Healthcare;Medical Care Facilities;KORI
230;0;France;FR0010411983;Scor;Financial Services;Insurance - Reinsurance;SCR
231;0;France;FR0010417345;Dbv Technologies;Healthcare;Biotechnology;DBV
232;0;France;FR0010451203;Rexel;Industrials;Industrial Distribution;RXL
233;0;France;FR0010533075;Getlink (ex: Eurotunnel);Industrials;Railroads;GET
234;0;France;FR0010613471;Suez Environnement;Utilities;Utilities - Regulated Water;SEV
235;0;France;FR0010667147;Coface;Financial Services;Insurance - Reinsurance;COFA
236;0;France;FR0010908533;Edenred;Financial Services;Credit Services;EDEN
237;0;France;FR0010918292;Technicolor;Communication Services;Entertainment;TCH
238;0;France;FR0011476928;Fnac Darty;Consumer Cyclical; Specialty Retail;FNAC
239;0;France;FR0011726835;GTT;Energy;Oil & Gas Equipment & Services;GTT
240;0;France;FR0011950732;Elior Group;Consumer Cyclical;Restaurants;ELIOR
241;0;France;FR0011981968;Worldline;Technology;Software - Infrastructure;WLN
242;0;France;FR0012435121;Elis;Industrials;Specialty Business Services;ELIS
243;0;France;FR0012757854;Spie;Industrials;Engineering & Construction;SPIE
244;0;France;FR0012789949;Europcar Mobility;Industrials;Rental & Leasing Services;EUCAR
245;0;France;FR0013153541;Maisons du Monde;Consumer Cyclical;Home Improvement Retail;MDM
246;0;France;FR0013154002;Sartorius Stedim Biotech;Healthcare;Medical Instruments & Supplies;DIM
247;0;France;FR0013176526;Valeo;Consumer Cyclical;Auto Parts;FR
248;0;France;FR0013181864;CGG;Energy;Oil & Gas Equipment & Services;CGG
249;0;France;FR0013227113;Soitec Silicon;Technology;Semiconductor Equipment & Materials;SOI
250;0;France;FR0013258662;Ald;Industrials;Rental & Leasing Services;ALD
251;0;France;FR0013269123;Rubis;Utilities;Utilities - Regulated Gas;RUI
252;0;France;FR0013280286;Biomerieux;Healthcare;Diagnostics & Research;BIM
253;0;France;FR0013326246;Unibail Rodamco Wes;Real Estate;REIT - Retail;URW
254;0;France;FR0013451333;La Francaise des jeux - FDJ;Consumer Cyclical;Gambling;FDJ
255;0;France;GB00BDSFG982;TechnipFMC;Energy;Oil & Gas Equipment & Services;FTI
256;0;France;LU0088087324;SES Sa;Communication Services;Broadcasting;SESG
257;0;France;LU0569974404;Aperam;Basic Materials;Steel;APAM
258;0;France;LU1598757687;Arcelor Mittal;Basic Materials;Steel;MT
259;0;Pays-bas;NL0000226223;Stmicroelectronics;Technology;Semiconductors;STM
260;0;Pays-bas;NL0000235190;Airbus;Industrials;Aerospace & Defense;AIR
261;0;Pays-bas;NL0006294274;Euronext;Financial Services;Financial Data & Stock Exchanges;ENX
